user_num,pseudoID,course_id,cluster,course_name
hello,A1014003818828,34102,7,New Venture Strategy
hello,A1014003818828,37000,7,Marketing Strategy
hello,A1014003818828,30000,7,Financial Accounting
hello,A1014003818828,33001,7,Microeconomics
hello,A1014003818828,38103,7,Strategies and Processes of Negotiation
hello,A1014003818828,40000,7,Operations Management: Business Process Fundamentals
hello,A1014003818828,35200,7,Corporation Finance
hello,A1014003818828,35000,7,Investments
hello,A1014003818828,38002,7,Managerial Decision Making
hello,A1014003818828,36106,7,Managerial Decision Modeling
hello,A1014003818828,39002,7,Strategic Leadership
hello,A1014003818828,37103,7,Data-Driven Marketing
hello,A1014003818828,33040,7,Macroeconomics
hello,A1014003818828,41100,7,Applied Regression Analysis
hello,A1014003818828,38003,7,Power and Influence in Organizations
hello,A1025238640,33001,7,Microeconomics
hello,A1025238640,40000,7,Operations Management: Business Process Fundamentals
hello,A1025238640,38103,7,Strategies and Processes of Negotiation
hello,A1025238640,35000,7,Investments
hello,A1025238640,35200,7,Corporation Finance
hello,A1025238640,38002,7,Managerial Decision Making
hello,A1025238640,33040,7,Macroeconomics
hello,A1025238640,35201,7,Cases in Financial Management
hello,A1025238640,33305,7,The Firm and the Non-Market Environment
hello,A1025238640,36106,7,Managerial Decision Modeling
hello,A1025238640,30001,7,Cost Analysis and Internal Controls
hello,A1025238640,42002,7,Business Policy
hello,A1025238640,39001,7,Strategy and Structure: Markets and Organizations
hello,A1025238640,30118,7,Taxes and Business Strategy
hello,A1025238640,39002,7,Strategic Leadership
hello,A105903956512,37000,9,Marketing Strategy
hello,A105903956512,40000,9,Operations Management: Business Process Fundamentals
hello,A105903956512,38103,9,Strategies and Processes of Negotiation
hello,A105903956512,33040,9,Macroeconomics
hello,A105903956512,38001,9,Managing in Organizations
hello,A105903956512,35201,9,Cases in Financial Management
hello,A105903956512,38002,9,Managerial Decision Making
hello,A105903956512,30001,9,Cost Analysis and Internal Controls
hello,A105903956512,30118,9,Taxes and Business Strategy
hello,A105903956512,37101,9,Consumer Behavior
hello,A105903956512,42002,9,Business Policy
hello,A105903956512,41100,9,Applied Regression Analysis
hello,A105903956512,33450,9,Real Estate Investments I
hello,A105903956512,33502,9,International Financial Policy
hello,A105903956512,39002,9,Strategic Leadership
hello,A106163082105,33001,2,Microeconomics
hello,A106163082105,40000,2,Operations Management: Business Process Fundamentals
hello,A106163082105,37101,2,Consumer Behavior
hello,A106163082105,35000,2,Investments
hello,A106163082105,37103,2,Data-Driven Marketing
hello,A106163082105,38103,2,Strategies and Processes of Negotiation
hello,A106163082105,35200,2,Corporation Finance
hello,A106163082105,38002,2,Managerial Decision Making
hello,A106163082105,33040,2,Macroeconomics
hello,A106163082105,37202,2,Pricing Strategies
hello,A106163082105,42002,2,Business Policy
hello,A106163082105,38003,2,Power and Influence in Organizations
hello,A106163082105,34111,2,Entrepreneurial Selling
hello,A106163082105,37106,2,Marketing Research
hello,A106163082105,38110,2,The Practice of Leadership in Business
hello,A106723312360,35000,9,Investments
hello,A106723312360,33001,9,Microeconomics
hello,A106723312360,37000,9,Marketing Strategy
hello,A106723312360,38103,9,Strategies and Processes of Negotiation
hello,A106723312360,30000,9,Financial Accounting
hello,A106723312360,41100,9,Applied Regression Analysis
hello,A106723312360,40000,9,Operations Management: Business Process Fundamentals
hello,A106723312360,38002,9,Managerial Decision Making
hello,A106723312360,38001,9,Managing in Organizations
hello,A106723312360,33040,9,Macroeconomics
hello,A106723312360,33401,9,Money and Banking
hello,A106723312360,36106,9,Managerial Decision Modeling
hello,A106723312360,30001,9,Cost Analysis and Internal Controls
hello,A106723312360,37202,9,Pricing Strategies
hello,A106723312360,34702,9,Private Equity/Venture Capital Lab
hello,A107084140140,30000,6,Financial Accounting
hello,A107084140140,37000,6,Marketing Strategy
hello,A107084140140,38103,6,Strategies and Processes of Negotiation
hello,A107084140140,40000,6,Operations Management: Business Process Fundamentals
hello,A107084140140,38002,6,Managerial Decision Making
hello,A107084140140,38001,6,Managing in Organizations
hello,A107084140140,35200,6,Corporation Finance
hello,A107084140140,33032,6,Managing the Workplace
hello,A107084140140,42002,6,Business Policy
hello,A107084140140,39002,6,Strategic Leadership
hello,A107084140140,33401,6,Money and Banking
hello,A107084140140,37101,6,Consumer Behavior
hello,A107084140140,39001,6,Strategy and Structure: Markets and Organizations
hello,A107084140140,33040,6,Macroeconomics
hello,A107084140140,33450,6,Real Estate Investments I
hello,A110262775672,37000,3,Marketing Strategy
hello,A110262775672,38103,3,Strategies and Processes of Negotiation
hello,A110262775672,38001,3,Managing in Organizations
hello,A110262775672,40000,3,Operations Management: Business Process Fundamentals
hello,A110262775672,38002,3,Managerial Decision Making
hello,A110262775672,33032,3,Managing the Workplace
hello,A110262775672,39001,3,Strategy and Structure: Markets and Organizations
hello,A110262775672,37101,3,Consumer Behavior
hello,A110262775672,33040,3,Macroeconomics
hello,A110262775672,39002,3,Strategic Leadership
hello,A110262775672,35215,3,Behavioral and Institutional Finance
hello,A110262775672,42002,3,Business Policy
hello,A110262775672,33450,3,Real Estate Investments I
hello,A110262775672,35001,3,Introductory Finance
hello,A110262775672,33401,3,Money and Banking
hello,A11070370042,37000,4,Marketing Strategy
hello,A11070370042,35000,4,Investments
hello,A11070370042,40000,4,Operations Management: Business Process Fundamentals
hello,A11070370042,38001,4,Managing in Organizations
hello,A11070370042,30118,4,Taxes and Business Strategy
hello,A11070370042,38002,4,Managerial Decision Making
hello,A11070370042,35201,4,Cases in Financial Management
hello,A11070370042,30116,4,Accounting and Financial Analysis I
hello,A11070370042,33040,4,Macroeconomics
hello,A11070370042,35215,4,Behavioral and Institutional Finance
hello,A11070370042,36106,4,Managerial Decision Modeling
hello,A11070370042,33401,4,Money and Banking
hello,A11070370042,33502,4,International Financial Policy
hello,A11070370042,35210,4,International Corporate Finance
hello,A11070370042,39001,4,Strategy and Structure: Markets and Organizations
hello,A1110993478415,37000,9,Marketing Strategy
hello,A1110993478415,42001,9,Competitive Strategy
hello,A1110993478415,38002,9,Managerial Decision Making
hello,A1110993478415,40000,9,Operations Management: Business Process Fundamentals
hello,A1110993478415,38001,9,Managing in Organizations
hello,A1110993478415,30118,9,Taxes and Business Strategy
hello,A1110993478415,33032,9,Managing the Workplace
hello,A1110993478415,42002,9,Business Policy
hello,A1110993478415,37101,9,Consumer Behavior
hello,A1110993478415,39002,9,Strategic Leadership
hello,A1110993478415,39001,9,Strategy and Structure: Markets and Organizations
hello,A1110993478415,33040,9,Macroeconomics
hello,A1110993478415,33450,9,Real Estate Investments I
hello,A1110993478415,35215,9,Behavioral and Institutional Finance
hello,A1110993478415,35001,9,Introductory Finance
hello,A11408314912,35000,6,Investments
hello,A11408314912,38001,6,Managing in Organizations
hello,A11408314912,38002,6,Managerial Decision Making
hello,A11408314912,35200,6,Corporation Finance
hello,A11408314912,33032,6,Managing the Workplace
hello,A11408314912,42002,6,Business Policy
hello,A11408314912,39002,6,Strategic Leadership
hello,A11408314912,33040,6,Macroeconomics
hello,A11408314912,30118,6,Taxes and Business Strategy
hello,A11408314912,37101,6,Consumer Behavior
hello,A11408314912,33450,6,Real Estate Investments I
hello,A11408314912,35215,6,Behavioral and Institutional Finance
hello,A11408314912,35001,6,Introductory Finance
hello,A11408314912,33401,6,Money and Banking
hello,A11408314912,35201,6,Cases in Financial Management
hello,A116783337336,35000,3,Investments
hello,A116783337336,37000,3,Marketing Strategy
hello,A116783337336,35200,3,Corporation Finance
hello,A116783337336,33001,3,Microeconomics
hello,A116783337336,38103,3,Strategies and Processes of Negotiation
hello,A116783337336,38001,3,Managing in Organizations
hello,A116783337336,38002,3,Managerial Decision Making
hello,A116783337336,40000,3,Operations Management: Business Process Fundamentals
hello,A116783337336,33040,3,Macroeconomics
hello,A116783337336,35201,3,Cases in Financial Management
hello,A116783337336,39002,3,Strategic Leadership
hello,A116783337336,34102,3,New Venture Strategy
hello,A116783337336,36106,3,Managerial Decision Modeling
hello,A116783337336,37103,3,Data-Driven Marketing
hello,A116783337336,37202,3,Pricing Strategies
hello,A116953337612,42001,6,Competitive Strategy
hello,A116953337612,38103,6,Strategies and Processes of Negotiation
hello,A116953337612,35000,6,Investments
hello,A116953337612,40000,6,Operations Management: Business Process Fundamentals
hello,A116953337612,38002,6,Managerial Decision Making
hello,A116953337612,35200,6,Corporation Finance
hello,A116953337612,30118,6,Taxes and Business Strategy
hello,A116953337612,42002,6,Business Policy
hello,A116953337612,37101,6,Consumer Behavior
hello,A116953337612,39002,6,Strategic Leadership
hello,A116953337612,33032,6,Managing the Workplace
hello,A116953337612,33040,6,Macroeconomics
hello,A116953337612,33471,6,"Business, Politics, and Ethics"
hello,A116953337612,33450,6,Real Estate Investments I
hello,A116953337612,42108,6,Corporate Governance
hello,A117493901168,30001,4,Cost Analysis and Internal Controls
hello,A117493901168,30116,4,Accounting and Financial Analysis I
hello,A117493901168,30117,4,Accounting and Financial Analysis II
hello,A117493901168,30118,4,Taxes and Business Strategy
hello,A117493901168,30130,4,Financial Statement Analysis
hello,A117493901168,31001,4,Leadership: Effectiveness and Development
hello,A117493901168,31301,4,NA
hello,A117493901168,31311,4,NA
hello,A117493901168,31701,4,Leadership Effectiveness & Development (LEAD) Lab I
hello,A117493901168,31702,4,Leadership Effectiveness and Development (LEAD) Lab II
hello,A117493901168,31710,4,Kapnick Initiative Leadership Effectiveness and Development Lab
hello,A117493901168,32101,4,NA
hello,A117493901168,33001,4,Microeconomics
hello,A117493901168,33031,4,NA
hello,A117493901168,33032,4,Managing the Workplace
hello,A119763337102,42001,10,Competitive Strategy
hello,A119763337102,38103,10,Strategies and Processes of Negotiation
hello,A119763337102,35000,10,Investments
hello,A119763337102,38001,10,Managing in Organizations
hello,A119763337102,35200,10,Corporation Finance
hello,A119763337102,38002,10,Managerial Decision Making
hello,A119763337102,30118,10,Taxes and Business Strategy
hello,A119763337102,33040,10,Macroeconomics
hello,A119763337102,35201,10,Cases in Financial Management
hello,A119763337102,37101,10,Consumer Behavior
hello,A119763337102,39002,10,Strategic Leadership
hello,A119763337102,33032,10,Managing the Workplace
hello,A119763337102,42002,10,Business Policy
hello,A119763337102,30001,10,Cost Analysis and Internal Controls
hello,A119763337102,33450,10,Real Estate Investments I
hello,A1210923840121,30001,10,Cost Analysis and Internal Controls
hello,A1210923840121,30116,10,Accounting and Financial Analysis I
hello,A1210923840121,30117,10,Accounting and Financial Analysis II
hello,A1210923840121,30118,10,Taxes and Business Strategy
hello,A1210923840121,30130,10,Financial Statement Analysis
hello,A1210923840121,31001,10,Leadership: Effectiveness and Development
hello,A1210923840121,31301,10,NA
hello,A1210923840121,31311,10,NA
hello,A1210923840121,31701,10,Leadership Effectiveness & Development (LEAD) Lab I
hello,A1210923840121,31702,10,Leadership Effectiveness and Development (LEAD) Lab II
hello,A1210923840121,31710,10,Kapnick Initiative Leadership Effectiveness and Development Lab
hello,A1210923840121,32101,10,NA
hello,A1210923840121,33002,10,Accelerated Microeconomics
hello,A1210923840121,33031,10,NA
hello,A1210923840121,33032,10,Managing the Workplace
hello,A1211063168644,38103,2,Strategies and Processes of Negotiation
hello,A1211063168644,40000,2,Operations Management: Business Process Fundamentals
hello,A1211063168644,38001,2,Managing in Organizations
hello,A1211063168644,35200,2,Corporation Finance
hello,A1211063168644,33032,2,Managing the Workplace
hello,A1211063168644,42002,2,Business Policy
hello,A1211063168644,30118,2,Taxes and Business Strategy
hello,A1211063168644,39002,2,Strategic Leadership
hello,A1211063168644,39001,2,Strategy and Structure: Markets and Organizations
hello,A1211063168644,37101,2,Consumer Behavior
hello,A1211063168644,33040,2,Macroeconomics
hello,A1211063168644,35215,2,Behavioral and Institutional Finance
hello,A1211063168644,33450,2,Real Estate Investments I
hello,A1211063168644,35001,2,Introductory Finance
hello,A1211063168644,33401,2,Money and Banking
hello,A124603984192,30001,6,Cost Analysis and Internal Controls
hello,A124603984192,30116,6,Accounting and Financial Analysis I
hello,A124603984192,30117,6,Accounting and Financial Analysis II
hello,A124603984192,30118,6,Taxes and Business Strategy
hello,A124603984192,30130,6,Financial Statement Analysis
hello,A124603984192,31001,6,Leadership: Effectiveness and Development
hello,A124603984192,31301,6,NA
hello,A124603984192,31311,6,NA
hello,A124603984192,31701,6,Leadership Effectiveness & Development (LEAD) Lab I
hello,A124603984192,31702,6,Leadership Effectiveness and Development (LEAD) Lab II
hello,A124603984192,31710,6,Kapnick Initiative Leadership Effectiveness and Development Lab
hello,A124603984192,32101,6,NA
hello,A124603984192,33002,6,Accelerated Microeconomics
hello,A124603984192,33031,6,NA
hello,A124603984192,33032,6,Managing the Workplace
hello,A1246236483,30117,9,Accounting and Financial Analysis II
hello,A1246236483,31001,9,Leadership: Effectiveness and Development
hello,A1246236483,31301,9,NA
hello,A1246236483,31311,9,NA
hello,A1246236483,31701,9,Leadership Effectiveness & Development (LEAD) Lab I
hello,A1246236483,31702,9,Leadership Effectiveness and Development (LEAD) Lab II
hello,A1246236483,31710,9,Kapnick Initiative Leadership Effectiveness and Development Lab
hello,A1246236483,32101,9,NA
hello,A1246236483,33002,9,Accelerated Microeconomics
hello,A1246236483,33031,9,NA
hello,A1246236483,33032,9,Managing the Workplace
hello,A1246236483,33101,9,Advanced Microeconomic Analysis
hello,A1246236483,33102,9,NA
hello,A1246236483,33111,9,NA
hello,A1246236483,33112,9,Business in Historical Perspective
hello,A124763696378,33001,2,Microeconomics
hello,A124763696378,30000,2,Financial Accounting
hello,A124763696378,37000,2,Marketing Strategy
hello,A124763696378,38103,2,Strategies and Processes of Negotiation
hello,A124763696378,35000,2,Investments
hello,A124763696378,40000,2,Operations Management: Business Process Fundamentals
hello,A124763696378,35200,2,Corporation Finance
hello,A124763696378,33040,2,Macroeconomics
hello,A124763696378,38002,2,Managerial Decision Making
hello,A124763696378,38001,2,Managing in Organizations
hello,A124763696378,30116,2,Accounting and Financial Analysis I
hello,A124763696378,33032,2,Managing the Workplace
hello,A124763696378,33401,2,Money and Banking
hello,A124763696378,35201,2,Cases in Financial Management
hello,A124763696378,36106,2,Managerial Decision Modeling
hello,A12679432028,37000,2,Marketing Strategy
hello,A12679432028,42001,2,Competitive Strategy
hello,A12679432028,38103,2,Strategies and Processes of Negotiation
hello,A12679432028,40000,2,Operations Management: Business Process Fundamentals
hello,A12679432028,38001,2,Managing in Organizations
hello,A12679432028,35200,2,Corporation Finance
hello,A12679432028,38002,2,Managerial Decision Making
hello,A12679432028,33032,2,Managing the Workplace
hello,A12679432028,39001,2,Strategy and Structure: Markets and Organizations
hello,A12679432028,33040,2,Macroeconomics
hello,A12679432028,35215,2,Behavioral and Institutional Finance
hello,A12679432028,39002,2,Strategic Leadership
