pseudoID,course_data,course_num,year,quarter_num,quarter_text,section,user_num,course_name
A4602376104,20164-33001-02,33001,2016,4,Autumn,2,1,Microeconomics
A4602376104,20164-41000-01,41000,2016,4,Autumn,1,1,Business Statistics
A4602376104,20164-42001-02,42001,2016,4,Autumn,2,1,Competitive Strategy
A4602376104,20171-30000-01,30000,2017,1,Winter,1,1,Financial Accounting
A4602376104,20171-38003-81,38003,2017,1,Winter,81,1,Power and Influence in Organizations
A4602376104,20171-40000-02,40000,2017,1,Winter,2,1,Operations Management: Business Process Fundamentals
A19032772384,20164-30000-04,30000,2016,4,Autumn,4,2,Financial Accounting
A19032772384,20164-33001-02,33001,2016,4,Autumn,2,2,Microeconomics
A19032772384,20164-41000-05,41000,2016,4,Autumn,5,2,Business Statistics
A19032772384,20171-33503-02,33503,2017,1,Winter,2,2,Managing the Firm in the Global Economy
A19032772384,20171-35000-01,35000,2017,1,Winter,1,2,Investments
A19032772384,20171-40000-02,40000,2017,1,Winter,2,2,Operations Management: Business Process Fundamentals
A19032772384,20171-42001-02,42001,2017,1,Winter,2,2,Competitive Strategy
A420237636,20164-30116-01,30116,2016,4,Autumn,1,3,Accounting and Financial Analysis I
A420237636,20164-33001-02,33001,2016,4,Autumn,2,3,Microeconomics
A420237636,20164-35200-01,35200,2016,4,Autumn,1,3,Corporation Finance
A420237636,20164-42001-02,42001,2016,4,Autumn,2,3,Competitive Strategy
A420237636,20171-35210-01,35210,2017,1,Winter,1,3,International Corporate Finance
A420237636,20171-35215-01,35215,2017,1,Winter,1,3,Behavioral and Institutional Finance
A420237636,20171-41203-01,41203,2017,1,Winter,1,3,Financial Econometrics
A5402988125,20164-30000-06,30000,2016,4,Autumn,6,4,Financial Accounting
A5402988125,20164-33001-03,33001,2016,4,Autumn,3,4,Microeconomics
A5402988125,20164-39001-02,39001,2016,4,Autumn,2,4,Strategy and Structure: Markets and Organizations
A5402988125,20171-35000-04,35000,2017,1,Winter,4,4,Investments
A5402988125,20171-38001-02,38001,2017,1,Winter,2,4,Managing in Organizations
A5402988125,20171-42001-02,42001,2017,1,Winter,2,4,Competitive Strategy
A5282592540,20164-30130-81,30130,2016,4,Autumn,81,5,Financial Statement Analysis
A5282592540,20164-36106-01,36106,2016,4,Autumn,1,5,Managerial Decision Modeling
A5282592540,20164-41100-04,41100,2016,4,Autumn,4,5,Applied Regression Analysis
A5282592540,20171-30118-02,30118,2017,1,Winter,2,5,Taxes and Business Strategy
A5282592540,20171-35201-82,35201,2017,1,Winter,82,5,Cases in Financial Management
